,userid,version,sum_gamerounds,retention_1,retention_7,Numretention_7,Numretention_1
0,116,gate_30,3,False,False,1.0,0.0
1,337,gate_30,38,True,False,1.0,1.0
2,377,gate_40,165,True,False,1.0,1.0
3,483,gate_40,1,False,False,1.0,0.0
4,488,gate_40,179,True,True,1.0,1.0
5,540,gate_40,187,True,True,1.0,1.0
6,1066,gate_30,0,False,False,1.0,0.0
7,1444,gate_40,2,False,False,1.0,0.0
8,1574,gate_40,108,True,True,1.0,1.0
9,1587,gate_40,153,True,False,1.0,1.0
10,1842,gate_40,3,False,True,1.0,0.0
11,2101,gate_30,0,False,False,1.0,0.0
12,2132,gate_40,30,True,False,1.0,1.0
13,2179,gate_30,39,True,False,1.0,1.0
14,2218,gate_30,189,True,True,1.0,1.0
15,2382,gate_30,73,True,False,1.0,1.0
16,2392,gate_30,14,True,False,1.0,1.0
17,2451,gate_30,189,True,True,1.0,1.0
18,2482,gate_30,108,True,True,1.0,1.0
19,2502,gate_40,1,False,False,1.0,0.0
20,2530,gate_40,9,True,False,1.0,1.0
21,2534,gate_30,5,True,False,1.0,1.0
22,2695,gate_40,45,True,False,1.0,1.0
23,2729,gate_30,105,False,True,1.0,0.0
24,2829,gate_30,4,False,False,1.0,0.0
25,2963,gate_30,3,False,False,1.0,0.0
26,3095,gate_30,0,False,False,1.0,0.0
27,3132,gate_40,80,True,True,1.0,1.0
28,3186,gate_40,4,False,False,1.0,0.0
29,3199,gate_30,5,False,False,1.0,0.0
30,3204,gate_40,53,True,True,1.0,1.0
31,3413,gate_30,37,True,False,1.0,1.0
32,3690,gate_30,13,True,False,1.0,1.0
33,3696,gate_30,50,False,False,1.0,0.0
34,3993,gate_40,189,True,True,1.0,1.0
35,4076,gate_40,0,False,False,1.0,0.0
36,4162,gate_30,23,False,False,1.0,0.0
37,4176,gate_30,0,False,False,1.0,0.0
38,4283,gate_30,103,False,False,1.0,0.0
39,4594,gate_30,27,False,False,1.0,0.0
40,4653,gate_40,15,False,False,1.0,0.0
41,4881,gate_30,0,False,False,1.0,0.0
42,4902,gate_40,1,False,False,1.0,0.0
43,4916,gate_40,49,True,False,1.0,1.0
44,4918,gate_30,7,False,False,1.0,0.0
45,4929,gate_30,189,True,True,1.0,1.0
46,4945,gate_40,25,True,False,1.0,1.0
47,5066,gate_30,1,False,False,1.0,0.0
48,5215,gate_30,13,True,False,1.0,1.0
49,5286,gate_30,12,True,False,1.0,1.0
50,5345,gate_40,6,False,False,1.0,0.0
51,5479,gate_30,25,True,False,1.0,1.0
52,5550,gate_30,29,True,False,1.0,1.0
53,5661,gate_30,136,True,False,1.0,1.0
54,5712,gate_30,105,True,True,1.0,1.0
55,5920,gate_40,10,True,False,1.0,1.0
56,5943,gate_40,76,False,False,1.0,0.0
57,6099,gate_40,138,False,False,1.0,0.0
58,6123,gate_30,0,False,False,1.0,0.0
59,6151,gate_30,94,True,True,1.0,1.0
60,6156,gate_40,1,False,False,1.0,0.0
61,6492,gate_30,0,False,False,1.0,0.0
62,6664,gate_40,26,True,False,1.0,1.0
63,6695,gate_40,127,True,False,1.0,1.0
64,6833,gate_40,6,False,False,1.0,0.0
65,6842,gate_40,4,False,False,1.0,0.0
66,6924,gate_30,21,False,False,1.0,0.0
67,6930,gate_40,189,True,True,1.0,1.0
68,7124,gate_40,108,True,True,1.0,1.0
69,7253,gate_30,45,True,False,1.0,1.0
70,7321,gate_40,33,False,False,1.0,0.0
71,7509,gate_40,0,False,False,1.0,0.0
72,7527,gate_30,80,False,False,1.0,0.0
73,7564,gate_30,21,False,False,1.0,0.0
74,7582,gate_40,3,False,False,1.0,0.0
75,7767,gate_30,139,True,True,1.0,1.0
76,7866,gate_30,14,False,False,1.0,0.0
77,8063,gate_30,50,True,False,1.0,1.0
78,8254,gate_40,14,False,False,1.0,0.0
79,8256,gate_40,14,False,False,1.0,0.0
80,8288,gate_30,9,False,False,1.0,0.0
81,8317,gate_40,3,False,False,1.0,0.0
82,8379,gate_30,0,False,False,1.0,0.0
83,8464,gate_30,10,False,False,1.0,0.0
84,8465,gate_40,4,False,False,1.0,0.0
85,8494,gate_30,5,True,False,1.0,1.0
86,8644,gate_30,2,False,False,1.0,0.0
87,8679,gate_30,0,False,False,1.0,0.0
88,8692,gate_30,3,True,False,1.0,1.0
89,8753,gate_40,10,True,False,1.0,1.0
90,8788,gate_30,19,False,True,1.0,0.0
91,8801,gate_40,0,False,False,1.0,0.0
92,8885,gate_40,5,False,False,1.0,0.0
93,9001,gate_40,16,True,False,1.0,1.0
94,9308,gate_40,95,True,False,1.0,1.0
95,9443,gate_40,3,False,False,1.0,0.0
96,9589,gate_30,8,False,False,1.0,0.0
97,9699,gate_40,8,False,False,1.0,0.0
98,9828,gate_40,1,False,False,1.0,0.0
99,9831,gate_40,3,False,False,1.0,0.0
100,9849,gate_40,1,False,False,1.0,0.0
101,10112,gate_30,6,False,False,1.0,0.0
102,10200,gate_40,106,False,True,1.0,0.0
103,10218,gate_30,22,True,False,1.0,1.0
104,10276,gate_40,1,False,False,1.0,0.0
105,10336,gate_30,11,False,False,1.0,0.0
106,10476,gate_40,4,False,False,1.0,0.0
107,10533,gate_40,21,False,False,1.0,0.0
108,10598,gate_40,8,False,False,1.0,0.0
109,10636,gate_30,189,True,True,1.0,1.0
110,10637,gate_40,0,False,False,1.0,0.0
111,10676,gate_40,6,False,False,1.0,0.0
112,10756,gate_30,16,False,False,1.0,0.0
113,10884,gate_40,49,True,False,1.0,1.0
114,11093,gate_40,54,True,True,1.0,1.0
115,11127,gate_30,66,True,True,1.0,1.0
116,11297,gate_30,0,False,False,1.0,0.0
117,11411,gate_30,122,True,True,1.0,1.0
118,11420,gate_30,75,True,False,1.0,1.0
119,11599,gate_30,3,False,False,1.0,0.0
120,11675,gate_40,17,False,False,1.0,0.0
121,11747,gate_30,1,True,False,1.0,1.0
122,11840,gate_30,24,False,False,1.0,0.0
123,11886,gate_30,3,False,False,1.0,0.0
124,12053,gate_30,11,True,False,1.0,1.0
125,12067,gate_40,7,False,False,1.0,0.0
126,12163,gate_30,47,True,False,1.0,1.0
127,12393,gate_40,1,False,False,1.0,0.0
128,12461,gate_40,4,False,False,1.0,0.0
129,12523,gate_30,31,True,False,1.0,1.0
130,12558,gate_30,13,False,False,1.0,0.0
131,12574,gate_30,22,True,False,1.0,1.0
132,12749,gate_30,6,True,False,1.0,1.0
133,12905,gate_40,1,False,False,1.0,0.0
134,12951,gate_40,2,False,False,1.0,0.0
135,12967,gate_30,24,True,False,1.0,1.0
136,12979,gate_30,6,False,False,1.0,0.0
137,13133,gate_40,6,False,False,1.0,0.0
138,13216,gate_30,24,True,False,1.0,1.0
139,13228,gate_40,9,False,False,1.0,0.0
140,13320,gate_40,34,False,False,1.0,0.0
141,13321,gate_40,56,False,False,1.0,0.0
142,13376,gate_40,12,True,False,1.0,1.0
143,13429,gate_30,60,False,True,1.0,0.0
144,13494,gate_40,10,True,False,1.0,1.0
145,13633,gate_30,67,False,False,1.0,0.0
146,13664,gate_30,42,True,True,1.0,1.0
147,13721,gate_40,65,True,False,1.0,1.0
148,13758,gate_30,1,False,False,1.0,0.0
149,13806,gate_30,4,False,False,1.0,0.0
150,13856,gate_30,3,False,False,1.0,0.0
151,13872,gate_30,1,False,False,1.0,0.0
152,13893,gate_40,14,False,False,1.0,0.0
153,13969,gate_40,42,False,False,1.0,0.0
154,14143,gate_30,13,False,False,1.0,0.0
155,14218,gate_30,129,False,True,1.0,0.0
156,14290,gate_40,6,True,False,1.0,1.0
157,14296,gate_30,37,False,False,1.0,0.0
158,14381,gate_40,9,False,False,1.0,0.0
159,14592,gate_30,1,False,False,1.0,0.0
160,14644,gate_40,2,False,False,1.0,0.0
161,14834,gate_30,27,False,False,1.0,0.0
162,15157,gate_40,38,False,False,1.0,0.0
163,15173,gate_30,8,False,False,1.0,0.0
164,15294,gate_30,51,True,True,1.0,1.0
